#{"t_start": 1771510861.7328315, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
410.0,3545,2.036912
60.0,1045,2.275135
65.0,1217,2.459135
80.0,1647,2.708138
30.0,1399,2.924173
45.0,1125,3.097145
105.0,1161,3.274153
60.0,1855,3.554145
115.0,2363,3.915871
50.0,1427,4.131648
30.0,1489,4.360648
180.0,2237,4.695262
180.0,2079,5.009262
75.0,1249,5.200283
125.0,2645,5.596725
105.0,2037,5.901724
65.0,1633,6.149728
110.0,1643,6.397727
50.0,1189,6.579728
180.0,2129,6.902165
530.0,3393,7.409806
210.0,1915,7.698306
155.0,2035,8.008311
110.0,1971,8.305768
120.0,2101,8.623771
105.0,2073,8.937772
135.0,1991,9.24228
230.0,2705,9.640702
135.0,2057,9.945702
315.0,3501,10.460702
105.0,1923,10.747211
30.0,1091,10.911733
210.0,2403,11.272733
180.0,2311,11.616939
545.0,3727,12.162941
120.0,2139,12.487395
435.0,4081,13.085825
40.0,1147,13.259824
105.0,1899,13.544763
170.0,2485,13.912325
265.0,2729,14.325325
105.0,1885,14.607923
195.0,2741,15.014648
120.0,1553,15.249652
80.0,1399,15.457648
155.0,2213,15.788041
135.0,1871,16.068041
180.0,2169,16.395558
205.0,3349,16.886559
55.0,1159,20.744524
105.0,1611,20.987524
175.0,3717,21.541974
125.0,2037,21.854715
225.0,3229,22.343466
210.0,2149,22.664463
45.0,1765,22.932465
315.0,3181,23.403163
20.0,1445,23.623162
155.0,1909,23.914163
140.0,2977,24.366832
80.0,1525,24.596326
110.0,2127,24.91533
255.0,2483,25.294327
185.0,2039,25.603328
105.0,1507,25.83533
115.0,2391,26.19554
155.0,1873,26.478215
285.0,2637,26.876046
440.0,2379,27.228045
140.0,2411,27.597805
150.0,2475,27.97282
145.0,2619,28.366705
210.0,2197,28.70021
155.0,1881,28.983211
155.0,2321,29.338211
540.0,4733,30.03307
215.0,1851,30.317069
135.0,1981,30.620241
135.0,1169,30.800241
135.0,1929,31.09724
450.0,3713,31.658669
105.0,1943,31.96067
225.0,2503,32.344669
225.0,2643,32.741542
45.0,1707,33.009545
110.0,1601,33.253543
105.0,1929,33.546542
120.0,2099,33.863542
90.0,1735,34.125285
120.0,1207,34.309286
80.0,1747,34.573008
105.0,2349,34.927511
155.0,2327,35.27684
35.0,1119,35.449607
210.0,2877,35.885603
260.0,3707,40.389014
180.0,2105,40.707272
80.0,1253,40.900698
45.0,1427,41.124125
45.0,1149,41.301374
80.0,1855,41.584982
100.0,1177,41.766011
75.0,1575,42.005012
110.0,1613,42.250011
210.0,2197,42.582451
30.0,1077,42.747317
60.0,2475,43.126317
105.0,1679,43.383982
165.0,2509,43.766397
215.0,2339,44.121401
330.0,3297,44.626397
150.0,2013,44.932399
80.0,2107,45.263184
245.0,2839,45.696101
135.0,2187,46.034105
50.0,1181,46.216667
100.0,1255,46.414667
135.0,2005,46.719664
110.0,2187,47.059668
135.0,1489,47.310184
120.0,1463,47.541698
45.0,1289,47.736458
195.0,2187,48.068459
50.0,1397,48.283458
55.0,1153,48.456455
75.0,1185,48.637455
130.0,1583,48.877455
125.0,2117,49.194562
80.0,1479,49.418563
120.0,1925,49.716238
35.0,1931,50.010237
255.0,2689,50.409362
80.0,1805,50.684361
105.0,1691,50.941952
35.0,1677,51.196951
85.0,1755,51.461658
110.0,2341,51.815423
180.0,2279,52.159423
90.0,1923,52.452101
150.0,1943,52.744099
60.0,1685,53.003102
245.0,2885,53.438834
300.0,2597,53.830903
105.0,1893,54.123119
55.0,1347,54.327115
185.0,1961,54.622827
90.0,1165,54.798826
90.0,1501,55.030831
65.0,1501,55.262629
105.0,1197,55.44386
110.0,1757,59.790342
120.0,1873,60.072147
155.0,1867,60.359655
125.0,1805,60.634655
180.0,1649,60.887365
210.0,3659,61.439365
235.0,2817,61.868364
35.0,1859,62.158364
110.0,1983,62.467189
335.0,2613,62.873674
95.0,1651,63.1274
100.0,1487,63.357401
80.0,1747,63.627756
300.0,3063,64.089753
125.0,1991,64.389752
135.0,1915,64.677691
155.0,2325,65.033689
65.0,1385,65.244425
250.0,2891,65.680538
280.0,3167,66.157535
55.0,1181,66.338535
490.0,3897,66.92266
115.0,1907,67.214379
210.0,2009,67.517378
520.0,4079,68.123756
160.0,2261,68.476496
395.0,3727,69.024813
200.0,2697,69.429813
85.0,1485,69.656558
45.0,1823,69.934557
75.0,1665,70.186034
135.0,1707,70.44503
100.0,2049,70.75203
80.0,1141,70.92578
265.0,3149,71.398782
100.0,1197,71.582368
415.0,3323,72.080368
135.0,2109,72.403093
245.0,3471,72.9266
390.0,3851,73.501815
205.0,2493,73.880814
210.0,2793,74.302812
30.0,1487,74.531627
105.0,1913,74.828628
165.0,1933,75.124625
145.0,1969,81.678067
35.0,1851,82.84679
285.0,5251,85.3749
